Game Turn, Mode, Player, Unit, Operation
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
003, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_GALLEY (655369), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (786443), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_SCOUT (917517), UNITOPERATION_SKIP_TURN (36)
003, Adding, 63, UNIT_GALLEY (1048591), UNITOPERATION_SKIP_TURN (36)
004, Adding, 0, UNIT_SETTLER (65536), UNITOPERATION_FOUND_CITY (14)
004, Adding, 0, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 1, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 2, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 3, UNIT_BUILDER (196608), UNITOPERATION_SWAP_UNITS (49)
004, Can't Start, 3, UNIT_BUILDER (196608), UNITOPERATION_SWAP_UNITS (49)
004, Adding, 3, UNIT_BUILDER (196608), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_BUILDER (196608), UNITOPERATION_BUILD_IMPROVEMENT (2)
004, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 3, UNIT_AZTEC_EAGLE_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 4, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 5, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 6, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 7, UNIT_WARRIOR (131073), UNITOPERATION_SKIP_TURN (36)
004, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
004, Can't Start, 8, UNIT_WARRIOR (131073), UNITOPERATION_SWAP_UNITS (49)
004, Adding, 8, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
004, Adding, 9, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
004, Can't Start, 9, UNIT_SETTLER (65536), UNITOPERATION_MOVE_TO (19)
