Game Turn, Player, Boosted System, Progress
120, 9, CIVIC_COLONIALISM, Unstarted
120, 22, TECH_METAL_CASTING, Unstarted
120, 22, TECH_RIFLING, Unstarted
121, 1, TECH_ASTRONOMY, Unstarted
121, 7, CIVIC_DIVINE_RIGHT, Unstarted
121, 8, CIVIC_THE_ENLIGHTENMENT, Unstarted
124, 7, TECH_ASTRONOMY, Unstarted
126, 4, CIVIC_COLONIALISM, Unstarted
127, 3, TECH_ASTRONOMY, Unstarted
127, 6, TECH_PRINTING, Completed
127, 7, TECH_RIFLING, Unstarted
129, 0, TECH_ASTRONOMY, Unstarted
129, 1, CIVIC_COLONIALISM, Unstarted
129, 8, TECH_SCIENTIFIC_THEORY, Unstarted
129, 20, TECH_BANKING, Completed
130, 0, TECH_PRINTING, Unstarted
130, 5, TECH_GUNPOWDER, Completed
130, 8, CIVIC_COLONIALISM, Unstarted
130, 23, CIVIC_COLONIALISM, Unstarted
130, 24, CIVIC_COLONIALISM, Unstarted
130, 8, CIVIC_NAVAL_TRADITION, Unstarted
131, 11, CIVIC_COLONIALISM, Unstarted
131, 21, CIVIC_COLONIALISM, Unstarted
132, 24, CIVIC_NATIONALISM, Unstarted
132, 8, CIVIC_MILITARY_TRAINING, Unstarted
133, 3, CIVIC_COLONIALISM, Unstarted
133, 17, TECH_BANKING, Completed
134, 3, TECH_MILITARY_SCIENCE, Unstarted
134, 10, CIVIC_COLONIALISM, Unstarted
135, 3, TECH_MASS_PRODUCTION, Unstarted
135, 17, CIVIC_COLONIALISM, Unstarted
136, 3, TECH_SIEGE_TACTICS, Unstarted
136, 8, CIVIC_CIVIL_ENGINEERING, Unstarted
136, 9, CIVIC_OPERA_BALLET, Unstarted
136, 22, CIVIC_NATIONALISM, Unstarted
137, 9, TECH_MILITARY_ENGINEERING, Unstarted
137, 24, TECH_SQUARE_RIGGING, In Progress
138, 7, TECH_SCIENTIFIC_THEORY, Unstarted
138, 19, TECH_BANKING, Completed
139, 22, CIVIC_COLONIALISM, Unstarted
141, 0, TECH_STIRRUPS, Unstarted
141, 20, CIVIC_COLONIALISM, Unstarted
142, 19, CIVIC_COLONIALISM, Unstarted
143, 1, CIVIC_THE_ENLIGHTENMENT, Unstarted
144, 4, CIVIC_URBANIZATION, Unstarted
144, 7, CIVIC_COLONIALISM, Unstarted
147, 0, CIVIC_EXPLORATION, Unstarted
147, 16, TECH_SCIENTIFIC_THEORY, Unstarted
147, 17, TECH_SCIENTIFIC_THEORY, Unstarted
148, 7, CIVIC_URBANIZATION, Unstarted
148, 9, TECH_MASS_PRODUCTION, Unstarted
149, 13, CIVIC_NATIONALISM, Unstarted
151, 2, CIVIC_EXPLORATION, Unstarted
