Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
61, 6, 4, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Activate,   -2.0,  -10.0,   -1.0, 3, 0,    1.0
61, 6, 4, 당신에 대한 첫인상, Update,    0.0
62, 1, 8, 당신에 대한 적대감, Activate,   -6.0,   -6.0,    1.0, 0, 2,   -1.0
62, 2, 4, 상대방에게 병력 철수 맹약을 하지 않기로 함, Update,    0.0
62, 4, 6, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
62, 0, 5, 국경 개방, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
62, 6, 8, 당신에 대한 다른 플레이어의 적대감, Activate,   -3.0,   -3.0,    1.0, 0, 0,    1.0
63, 1, 8, 당신에 대한 적대감, Activate,   -4.0,   -4.0,    1.0, 0, 2,   -1.0
63, 3, 0, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
63, 6, 8, 당신에 대한 다른 플레이어의 적대감, Activate,   -2.0,   -2.0,    1.0, 0, 0,    1.0
63, 6, 4, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -3.0
63, 6, 8, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Update,    3.0
63, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    7.0
64, 0, 3, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
64, 1, 8, 당신에 대한 적대감, Activate,   -2.0,   -2.0,    1.0, 0, 2,   -1.0
64, 6, 8, 당신에 대한 다른 플레이어의 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 0,    1.0
64, 8, 1, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    7.0
64, 6, 8, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
64, 6, 9, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
65, 1, 8, 당신에 대한 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 2,   -1.0
65, 1, 6, 암비오릭스는 자신보다 군사 유닛이 많은 문명을 좋아합니다., Activate,    4.0,    4.0,    1.0, 0, 0,    1.0
65, 1, 8, 당신에 대한 첫인상, Update,   -1.0
65, 6, 8, 당신에 대한 다른 플레이어의 적대감, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
65, 6, 9, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Update,    3.0
65, 9, 6, 당신에 대한 첫인상, Update,    0.0
66, 1, 8, 당신에 대한 적대감, Activate,    0.0,    0.0,    1.0, 0, 2,   -1.0
66, 1, 6, 암비오릭스는 자신보다 군사 유닛이 많은 문명을 좋아합니다., Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
66, 1, 6, 당신에 대한 첫인상, Update,    1.0
66, 2, 6, 당신에 대한 첫인상, Update,    0.0
66, 4, 2, 상대방 주변에 정착, Activate,   -3.0,   -3.0,    0.0, 0, 10,   -1.0
66, 6, 1, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Activate,    2.0,   10.0,    1.0, 10, 0,   -1.0
66, 6, 2, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Activate,   -2.0,  -10.0,   -1.0, 3, 0,    1.0
66, 6, 2, 당신에 대한 첫인상, Update,   -2.0
66, 6, 4, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -4.0
67, 0, 3, , Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
67, 5, 0, 당신에 대한 첫인상, Update,   -1.0
68, 4, 5, 당신에 대한 첫인상, Update,   -2.0
68, 5, 4, 당신에 대한 첫인상, Update,    2.0
68, 6, 2, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -3.0
68, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    8.0
69, 6, 9, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
69, 6, 4, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -5.0
69, 4, 6, 상대방이 공개 비난당했음, Activate,   -9.0,   -9.0,    1.0, 0, 10,    1.0
69, 8, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -2.0,   -2.0,    1.0, 0, 0,    1.0
69, 8, 1, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    8.0
69, 9, 6, 양국 간의 교역로, Activate,    2.0,    2.0,    1.0, 0, 0,    1.0
69, 9, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -2.0,   -2.0,    1.0, 0, 0,    1.0
70, 1, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 0,    1.0
70, 2, 6, 적을 공개 비난함, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
70, 2, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 0,    1.0
70, 4, 6, 당신에 대한 적대감, Activate,   -3.0,   -3.0,    1.0, 0, 2,   -1.0
70, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
70, 5, 2, 당신에 대한 첫인상, Update,   -1.0
70, 8, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 0,    1.0
70, 9, 6, 당신에 대한 다른 플레이어의 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 0,    1.0
71, 1, 6, 당신에 대한 다른 플레이어의 적대감, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
71, 2, 6, 당신에 대한 다른 플레이어의 적대감, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
71, 2, 5, 당신에 대한 첫인상, Update,    1.0
71, 4, 6, 당신에 대한 적대감, Activate,   -1.0,   -1.0,    1.0, 0, 2,   -1.0
71, 4, 2, 생산성이 낮은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
71, 4, 6, 당신에 대한 첫인상, Update,    0.0
71, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -14.0,  -14.0,    1.0, 0, 0,    1.0
71, 0, 5, 당신이 자신보다 불가사의가 많음을 알고 속상해함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
71, 6, 2, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -4.0
71, 8, 6, 당신에 대한 다른 플레이어의 적대감, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
71, 9, 6, 당신에 대한 다른 플레이어의 적대감, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
72, 4, 6, 당신에 대한 적대감, Activate,    0.0,    0.0,    1.0, 0, 2,   -1.0
72, 4, 2, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
72, 4, 5, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
72, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -15.0,  -15.0,    1.0, 0, 0,    1.0
72, 5, 6, 당신에 대한 첫인상, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
72, 5,  6, 당신에 대한 첫인상, Deactivate
72, 5, 6, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
72, 6, 5, 당신에 대한 첫인상, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
72, 6,  5, 당신에 대한 첫인상, Deactivate
72, 6, 5, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
72, 6, 4, 당신이 주변 문명과 싸워 로버트 1세가 실망함, Update,   -6.0
73, 1, 8, 암비오릭스는 자신보다 군사 유닛이 많은 문명을 좋아합니다., Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
73, 6, 2, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Activate,    2.0,   10.0,    1.0, 10, 0,   -1.0
73, 6, 4, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Activate,    2.0,   10.0,    1.0, 10, 0,   -1.0
73, 4, 5, 영토가 넓은 제국 존중, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
73, 4, 8, 당신에 대한 첫인상, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
73, 4,  8, 당신에 대한 첫인상, Deactivate
73, 4, 8, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
73, 8, 4, 당신에 대한 첫인상, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
73, 8,  4, 당신에 대한 첫인상, Deactivate
73, 8, 4, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
73, 8, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -15.0,  -15.0,    1.0, 0, 0,    1.0
73, 6, 8, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Update,    4.0
73, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    9.0
74, 2, 6, 적을 공개 비난함, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
74, 2, 4, 당신에 대한 적대감, Activate,  -28.0,  -28.0,    1.0, 0, 2,   -1.0
74, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -14.0,  -14.0,    1.0, 0, 0,    1.0
74, 5, 0, 함무라비는 다양한 유형의 특수지구를 많이 보유한 문명을 좋아합니다., Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
74, 6, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -14.0,  -14.0,    1.0, 0, 0,    1.0
74, 8, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -14.0,  -14.0,    1.0, 0, 0,    1.0
74, 8, 6, 규모가 큰 상비군을 보유한 문명을 만나 기뻐함, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
