Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
82, Granted to Player, GREAT_PERSON_INDIVIDUAL_THEMISTOCLES, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, 9, 82
82, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, -1, -1
86, Granted to Player, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, 5, 86
86, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, -1, -1
87, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
88, Great Person Activated, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
91, Granted to Player, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, ERA_CLASSICAL, 60, 4, 91
91, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HIMERIOS, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, -1, -1
93, Granted to Player, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, 2, 93
93, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
94, Great Person Activated, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
95, Great Person Activated, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
99, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, 0, 99
99, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IBN_FADLAN, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 120, -1, -1
