[2022-04-03 13:05:54]	,----- FRAME: 8091 time: 74.38ms Moving avg: 16.42ms 82 frames since last 
[2022-04-03 13:05:54]	,UIManager_ProcessInput, 53.99 ms
[2022-04-03 13:05:54]	,----- FRAME: 8092 time: 7.39ms Moving avg: 16.27ms 2 frames since last 
[2022-04-03 13:05:54]	,    UIManager_ProcessInput, 19.83 ms
[2022-04-03 13:05:54]	,----- FRAME: 8093 time: 7.77ms Moving avg: 16.13ms 2 frames since last 
[2022-04-03 13:05:54]	,    UIManager_ProcessInput, 38.34 ms
[2022-04-03 13:05:54]	,----- FRAME: 8097 time: 6.73ms Moving avg: 15.52ms 5 frames since last 
[2022-04-03 13:05:54]	,    UIManager_ProcessInput, 76.98 ms
[2022-04-03 13:05:54]	,                UIManager_ProcessInput, 28.40 ms
[2022-04-03 13:05:54]	,            UIManager_Update, 29.01 ms
[2022-04-03 13:05:54]	,----- FRAME: 8104 time: 35.95ms Moving avg: 15.14ms 8 frames since last 
[2022-04-03 13:05:55]	,                UIManager_ProcessInput, 67.39 ms
[2022-04-03 13:05:55]	,            UIManager_Update, 67.49 ms
[2022-04-03 13:05:55]	,        UIUpdateJob_Update, 67.50 ms
[2022-04-03 13:05:55]	,----- FRAME: 8129 time: 75.42ms Moving avg: 12.81ms 26 frames since last 
[2022-04-03 13:05:56]	,    UIManager_ProcessInput, 49.44 ms
[2022-04-03 13:05:56]	,----- FRAME: 8186 time: 7.99ms Moving avg: 11.76ms 58 frames since last 
[2022-04-03 13:05:56]	,    UIManager_ProcessInput, 53.09 ms
[2022-04-03 13:05:56]	,----- FRAME: 8187 time: 9.10ms Moving avg: 11.68ms 2 frames since last 
[2022-04-03 13:05:56]	,    UIManager_ProcessInput, 18.78 ms
[2022-04-03 13:05:56]	,----- FRAME: 8188 time: 7.97ms Moving avg: 11.55ms 2 frames since last 
[2022-04-03 13:05:56]	,    UIManager_ProcessInput, 11.78 ms
[2022-04-03 13:05:56]	,----- FRAME: 8191 time: 10.80ms Moving avg: 11.03ms 4 frames since last 
[2022-04-03 13:06:21]	,UIManager_ProcessInput, 31.32 ms
[2022-04-03 13:06:21]	,SerialEvent::QuerySaveGames, 7.54 ms
[2022-04-03 13:06:21]	,----- FRAME: 9725 time: 18.84ms Moving avg: 16.49ms 1535 frames since last 
[2022-04-03 13:06:23]	,UIManager_ProcessInput, 122.40 ms
[2022-04-03 13:06:23]	,----- FRAME: 9833 time: 12.85ms Moving avg: 16.35ms 109 frames since last 
[2022-04-03 13:06:37]	,    UIManager_ProcessInput, 188.74 ms
[2022-04-03 13:06:37]	,----- FRAME: 10648 time: 11.95ms Moving avg: 16.36ms 816 frames since last 
[2022-04-03 13:06:38]	,    UIManager_ProcessInput, 450.53 ms
[2022-04-03 13:06:38]	,----- FRAME: 10676 time: 1.82ms Moving avg: 11.67ms 29 frames since last 
[2022-04-03 13:06:39]	,            UIManager_ProcessInput, 460.24 ms
[2022-04-03 13:06:39]	,----- FRAME: 10741 time: 1.84ms Moving avg: 11.08ms 66 frames since last 
[2022-04-03 13:06:44]	,        UIManager_ProcessInput, 456.54 ms
[2022-04-03 13:06:44]	,----- FRAME: 11015 time: 1.93ms Moving avg: 16.05ms 275 frames since last 
[2022-04-03 13:06:47]	,UIManager_ProcessInput, 451.97 ms
